REGISTRO;F_1;F_2_COD_1;F_3;F_4;F_5;F_6;F_7;P1_1;P1_2;P1_3;P1_4;P1_5;P1_6;P1_7;P1_8;P1_9;P1_10;P1_11;P1_12;P1_13;P1_14;P1_15;P1_16;P1_17;P1_18;P1_19;P1_20;P1_21;P1_22;P1_23;P1_24;P1_25;P1_26;P1_27;P1_28;P1_29;P1_98O;P1_98;P2_1;P2_02;P2_3;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9;P2_10;P2_11;P2_12;P2_13;P2_14;P2_98O;P2_98;P3_1;P3_2;P3_3;P3_4;P4;P5_1;P5_2;P5_3;P5_4;P5_5;P5_6;P5_7;P5_8;P5_9;P5_10;P5_11;P5_12;P5_13;P5_14;P5_15;P5_16;P5_98O;P5_98;P6;P7;P8_1;P8_2;P8_3;P8_4;P8_5;P8_6;P8_7;P8_8;P8_9;P8_10;P8_11;P8_12;P8_13;P8_14;P8_15;P8_16;P8_17;P8_18;P8_19;P8_20;P8_21;P9_COD_1;P9_COD_2;P9_COD_3;P9_COD_4;P10;P11A;P11_1;P11_2;P11_3;P11_4;P11_5;P11_6;P11_7;P11_8;P12;P13;P14_COD_1;P14_COD_2;P14_COD_3;P15_1;P15_2;P15_3;P16_1;P16_2;P16_3;P16_4;P17;P18;P19_1;P19_2;P19_3;P19_4;P19_5;P20;P21_1;P21_2;P21_3;P22;P23_1;P23_2;P24;P25;P26;P27_1;P27_2;P27_3;P28_COD_1;P28_COD_2;P28_COD_3;P29;P30;P31_1;P31_2;P31_3;P31_4;P32_1;P32_2;P32_3;P32_4;P32_5;P32_6;P32_7;P32_8;P32_9;P33;P34;P35;P36;P37;P38_1;P38_2;P39;P40_1;P40_2;P40_3;P41_COD_1;P41_COD_2;P42;P43;P44;FACTOR
286;1;18;2;1;1;5;2;5;2;2;1;5;5;0;5;5;2;5;5;5;5;5;5;5;5;5;4;2;1;2;5;5;5;1;2;2; ; ;3;5;3;5;2;2;2;2;5;5;5;2;2;4; ; ;1;2;2;2;4;5;3;4;3;4;5;5;5;5;5;3;2;2;2;2;5; ; ;3;3;4;4;4;4;4;5;5;4;5;5;5;5;4;4;5;5;5;5;5;5;5;3; ; ; ;1;1; ; ; ; ; ; ; ; ;5;5;6; ; ;5;4;3;1; ; ; ; ;8;14; ; ; ; ;2;5;1; ;3;3;1997;2; ;2013; ; ; ; ; ; ;3;1;1; ; ; ;2;2;5;1;5;5;4;5;4;2;2; ; ;5; ; ;5; ; ; ;175; ;4;2;5;,888030888030888
287;1;70;3;24;1;5;2;1;3;5;5;5;3;3;0;3;3;3;5;5;5;5;1;1;1;5;3;1;5;1;3;3;5;5;3;3; ; ;5;3;1;5;1;5;1;5;1;3;1;1;1;1; ; ;2;2;2;2; ;5;5;5;3;1;3;5;5;1;3;5;3;5;4;4;5; ; ;5;1;5;5;5;5;5;3;5;5;5;5;5;5;1;5;5;5;5;5;5;3;5;25;28; ; ;1;1;5;12;4;99; ; ; ; ;5;2;20; ; ;4;4;4;1; ; ; ; ;9;5; ; ; ; ;2;2; ; ;1;99;1998;2; ;9999;7; ; ;99; ; ;3;3;0; ; ; ;4;1;1;1;5;3;3;3;3;2;2; ; ;5; ; ;4;1; ; ;124; ;4;1;99;,72100993449308
288;1;49;4;1;3;5;2;3;1;5;4;5;5;1;4;2;5;1;4;3;5;4;2;1;4;1;1;1;1;3;5;4;3;4;4;1; ; ;5;1;1;5;1;2;1;3;3;2;2;4;3;5; ; ;1;2;2;2;4;3;4;4;4;5;4;4;5;3;2;1;3;3;4;4;4; ; ;5;1;4;3;4;5;5;3;4;3;5;5;5;4;3;4;5;4;4;4;5;3;4;25;28; ; ;1;1;3; ; ; ; ; ; ; ;5;3;6; ; ;4;4;3;99; ; ; ;1;4;1;19; ; ; ;3;2;5; ;1;2;1993;2; ;2004; ; ; ; ; ; ;1;1;1; ; ; ;4;2;4;1;3;1;5;4;3;3;1;1;21;4;99; ;5; ; ; ;48; ;4;2;2;,72100993449308
291;1;34;2;31;31;5;2;5;4;4;3;5;5;4;5;5;4;4;3;3;5;4;5;4;1;4;5;5;2;3;4;5;4;5;4;4; ; ;5;4;4;5;5;3;4;5;4;4;4;4;5;4; ; ;2;2;2;1; ;5;4;4;4;4;3;3;4;5;5;4;5;5;5;4;4; ; ;5;1;5;1;5;4;5;4;5;5;5;5;5;5;2;4;5;5;5;5;5;5;5;18; ; ; ;1;1;3;6;11;31; ; ; ; ;4;5;5; ; ;3;4;4;99; ; ; ;1;9;1;7; ; ; ;1;3;1; ;1;1;1999;2; ;2004;4; ; ;1; ; ;3;1;20; ; ; ;2;1;3;1;5;2;2;3;5;2;1;5;12;5; ; ;4;22; ; ;62; ;3;1;4;1,67165560423987
293;1;35;4;16;16;5;2;5;1;5;5;5;1;3;0;3;2;1;5;5;5;5;5;2;1;2;5;5;4;5;5;5;5;2;5;4; ; ;5;3;1;5;1;3;1;5;2;2;2;5;2;5; ; ;1;1;1;2;4;5;5;5;5;5;5;5;5;5;3;5;5;5;2;5;5; ; ;5;1;5;5;5;5;5;1;5;5;5;5;2;5;1;3;3;5;5;5;5;1;5;13; ; ; ;1;2;1;10;3; ; ; ; ; ;3;3;6; ; ;4;4;1;1; ; ; ; ;4;3;1; ; ; ;1;1; ; ;1;2;2006;2; ;2014;7; ; ;4; ; ;3;3;7; ; ; ;3;1;5;4;5;4;3;4;2;1;2; ; ;5; ; ;5; ; ; ;62; ;3;4;5;1,67165560423987
294;1;63;1;1; ;5;1;3;1;4;5;5;3;1;5;1;3;1;5;4;5;4;2;3;4;2;3;4;2;4;5;4;3;3;4;4; ; ;5;5;3;4;3;2;1;4;5;3;5;3;4;4; ; ;1;2;2;2;4;4;5;4;4;5;5;5;5;5;2;4;4;3;4;4;5; ; ;4;1;5;5;4;4;4;2;5;5;5;5;5;5;2;3;4;5;5;5;4;4;4;25; ; ; ;1;99; ; ; ; ; ; ; ; ;3;4;3; ; ;1;1;3;1; ; ; ; ;2;6; ; ; ; ;2;5; ; ;3;3;2002;1;12;2014; ; ; ; ; ; ;1;1;2; ; ; ;4;1;5;3;5;2;5;5;2;1;2; ; ;3;1; ;4;3;1; ;92; ;4;4;99;,439604933986956
295;1;72;2;27;27;5;2;3;5;5;5;3;5;4;0;5;5;5;2;1;2;3;2;1;2;3;4;5;3;3;2;2;4;3;4;3; ; ;4;5;1;5;5;3;4;5;2;5;3;5;3;5;23;5;1;1;2;2;5;5;5;5;4;5;2;3;3;5;5;5;3;5;4;4;5;22;3;5;1;5;5;5;5;5;3;5;5;5;5;5;5;2;3;5;5;5;5;5;5;5;24; ; ; ;1;4;1; ; ; ; ; ; ; ;5;5;6; ; ;5;5;5;99; ; ; ;1;7;99; ; ; ; ;1;3;8; ;2;9;1997;2; ;2001;2; ; ;4; ; ;3;3;16; ; ; ;5;1;3;1;4;4;2;4;5;1;2; ; ;5; ; ;5; ; ; ;128; ;4;1;8;,72100993449308
296;1;10;1;8; ;5;2;1;1;5;5;5;1;1;1;5;1;1;1;3;4;5;5;1;1;5;3;1;1;1;5;3;3;1;5;1; ; ;3;1;1;5;1;1;1;5;1;1;1;5;1;5; ; ;2;2;2;2; ;5;5;5;4;5;5;3;4;5;5;3;5;5;1;5;5; ; ;5;3;5;1;5;1;1;1;1;1;5;5;5;5;1;1;1;1;1;5;1;1;5;35; ; ; ;1;99; ; ; ; ; ; ; ; ;5;1;5; ; ;1;1;5;2; ; ; ;1;10;7; ; ; ; ;1;1; ; ;1;1;2007;2; ;2016;4;3; ;99; ; ;3;3;30; ; ; ;5;5;5;5;5;5;3;3;3;2;2; ; ;5; ; ;5; ; ; ;165; ;4;2;5;1,2796986392492
297;1;43;2;9;27;4;2;5;3;5;5;5;3;1;5;3;3;1;3;3;5;3;5;5;1;5;5;5;1;1;5;4;4;3;5;2; ; ;5;5;1;5;3;1;1;3;3;4;5;5;4;4; ; ;1;1;1;2;4;5;5;5;5;5;4;3;3;5;4;4;5;5;4;5;5; ; ;5;1;5;1;5;5;5;1;3;3;5;5;3;5;4;1;3;5;5;5;5;4;5;24; ; ; ;1;5;1; ; ; ; ; ; ; ;4;3;16; ; ;4;3;4;1; ; ; ; ;8;8; ; ; ; ;2;1;2; ;1;5;2008;2; ;2012; ; ; ; ; ; ;3;1;21; ; ; ;5;1;3;1;5;3;4;4;5;1;2; ; ;5; ; ;4;7;8; ;62; ;3;1;3;1,67165560423987
302;1;68;4;3;3;5;2;5;1;5;4;5;4;5;5;2;4;1;3;2;3;2;5;5;1;0;1;5;2;4;4;4;5;5;5;3; ; ;4;1;1;5;1;1;5;1;1;1;1;3;4;1; ; ;2;2;2;2; ;5;4;5;1;1;4;3;2;1;4;3;1;1;1;5;3; ; ;5;1;5;3;5;5;5;2;5;4;5;5;4;5;3;1;5;5;5;5;5;5;5;34; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;1;1; ; ;1;2;1983;1;17;2012; ; ; ; ; ; ;99;1;3; ; ; ;5;1;4;1;5;3;5;4;4;1;1;2;5;4;4; ;5; ; ; ;6; ;4;5;99;1,67165560423987
303;1;4;2;1;1;5;1;5;1;5;5;5;1;1;5;5;5;1;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;1; ; ;5;5;1;5;1;5;1;5;1;5;5;5;1;5; ; ;1;2;2;1;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5; ; ;5;3;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;5;5;5;5;28; ; ; ;1;1;6;2; ; ; ; ; ; ;5;5;7; ; ;5;5;4;1; ; ; ; ;9;5;6; ; ; ;2;5;1; ;1;3;1981;2; ;1992; ; ; ; ; ; ;1;1;1;21; ; ;5;1;1;5;5;3;5;5;5;1;2; ; ;5; ; ;5; ; ; ;31; ;4;1;8;,888030888030888
305;1;15;1;1; ;5;2;5;1;5;5;5;3;1;5;5;3;5;5;5;5;5;1;5;5;1;5;5;5;3;5;1;1;1;5;1; ; ;5;3;5;5;1;5;2;5;5;3;1;2;1;5; ; ;1;2;2;2;5;4;4;4;4;4;5;5;5;2;5;3;1;2;3;3;5; ; ;5;3;5;5;5;5;5;5;5;5;5;5;5;5;4;2;3;4;4;4;4;4;4;27; ; ; ;1;1; ; ; ; ; ; ; ; ;4;4;3;6; ;5;4;3;1; ; ; ; ;6;5; ; ; ; ;1;1; ; ;1;2;1987;1;15;9999; ; ; ; ; ; ;1;1;2;3; ; ;5;1;5;4;5;3;5;5;4;2;2; ; ;3;1; ;3;2; ; ;8; ;4;5;3;1,2796986392492
307;1;56;2;11;11;5;2;5;5;5;5;5;5;5;2;5;5;2;4;3;4;4;5;3;4;2;5;5;4;3;5;2;5;2;4;2; ; ;5;5;2;5;5;5;1;1;5;5;5;5;2;4; ; ;1;2;2;2;3;5;5;5;5;4;3;4;4;1;5;5;2;5;2;5;5; ; ;5;1;5;1;5;3;3;2;5;3;5;5;4;2;2;1;2;5;1;5;5;2;5;28; ; ; ;1;11;7;2; ; ; ; ; ; ;5;5;25; ; ;3;5;5;14; ; ; ;1;4;7; ; ; ; ;2;2; ; ;1;1;1997;2; ;2013;4; ; ;4;15; ;3;3;3;2; ; ;5;3;5;4;4;5;5;3;5;3;1;2;1;5; ; ;5; ; ; ;155; ;4;2;5;,439604933986956
308;1;3;2;9;9;5;1;2;2;4;4;5;2;4;4;2;3;1;4;4;3;3;3;5;2;2;3;4;0;4;4;1;1;2;3;2; ; ;5;3;1;3;2;1;2;1;4;4;4;3;3;3; ; ;1;2;2;1;3;4;5;4;3;3;3;4;3;1;4;2;5;1;1;2;5; ; ;4;1;4;2;4;4;3;4;3;3;4;3;3;3;3;1;5;5;3;4;4;1;5;34; ; ; ;1;9; ; ; ; ; ; ; ; ;4;2;6; ; ;3;2;3;1; ; ; ; ;99;5; ; ; ; ;1;1; ; ;1;1;1998;2; ;9999; ; ; ; ; ; ;3;1;2;29;35; ;4;4;4;4;3;3;3;2;2;1;1;2;1;5; ; ;3;1;29; ;72; ;3;4;99;1,2796986392492
310;1;55;4;1;1;6;2;5;1;1;5;2;5;0;1;5;5;5;5;1;5;1;1;5;5;5;1;1;5;1;5;1;1;1;5;1; ; ;5;5;3;5;1;3;1;5;3;5;3;3;1;5; ; ;2;2;2;2; ;1;1;3;3;3;3;5;5;3;3;1;3;3;1;3;5;23;5;5;1;1;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;1;14;22; ;1;1; ; ; ; ; ; ; ; ;5;3;3; ; ;3;5;3;1;14; ; ; ;5;18; ; ; ; ;3;5; ; ;1;3;1988;2; ;1994; ; ; ; ; ; ;3;1;3;2;30; ;5;5;5;5;5;5;5;3;3;1;1;3;7;5; ; ;4;3; ; ;149; ;3;6;6;,439604933986956
311;1;58;2;1;1;5;1;5;1;5;5;5;5;0;5;3;1;1;4;5;5;5;5;1;2;1;5;1;4;5;5;5;2;3;5;1; ; ;5;1;1;5;1;2;1;3;4;3;1;5;1;5; ; ;1;2;2;2;5;5;5;5;4;5;5;5;5;1;2;2;1;1;2;3;5; ; ;5;1;4;4;5;5;5;3;5;5;5;5;4;4;2;5;5;5;4;5;2;2;5;2; ; ; ;1;1; ; ; ; ; ; ; ; ;4;4;9; ; ;4;4;2;1; ; ; ; ;2;5; ; ; ; ;3;2; ; ;1;3;1994;2; ;2002; ; ; ; ; ; ;1;1;1; ; ; ;3;3;4;3;4;5;4;5;3;3;1;3;7;4;6; ;4;3; ; ;83; ;4;5;7;,439604933986956
312;1;51;1;3; ;5;2;5;1;1;1;5;1;0;5;5;5;1;1;5;1;1;1;5;1;1;3;1;3;1;1;1;5;1;1;3; ; ;5;5;1;5;1;1;1;5;1;3;2;1;1;1;24;5;2;2;2;2; ;5;4;5;5;5;3;5;5;5;5;3;5;5;3;5;5;24;2;5;1;4;1;5;5;5;3;5;5;5;5;5;5;3;3;5;3;5;3;5;4;5;13;18;22; ;1;1;5;3; ; ; ; ; ; ;3;2;2; ; ;5;5;2;1; ; ; ; ;4;5;1; ; ; ;2;2;1;5;2;2;2007;2; ;2013; ; ; ; ; ; ;1;1;4;38; ; ;4;1;5;1;4;4;4;3;4;1;2; ; ;5; ; ;5; ; ; ;40; ;3;2;4;,888030888030888
315;1;60;4;23;9;1; ;5;5;5;4;4;3;5;3;5;5;1;3;1;3;2;5;5;1;5;4;5;5;2;4;4;4;3;5;5; ; ;5;5;3;5;5;5;5;5;5;5;5;5;4;3; ; ;1;2;2;1;3;5;5;5;5;5;1;2;2;5;5;5;5;5;3;5;4; ; ;5;1;5;1;5;5;5;4;2;1;2;2;2;2;3;1;1;4;2;3;4;3;3;27; ; ; ;1;99; ; ; ; ; ; ; ; ;3;5;7; ; ;4;5;5;99; ; ; ;1;9;5; ; ; ; ;3;2; ; ;1;1;2004;2; ;2010;13; ; ;15; ; ;1;1;30; ; ; ;4;1;4;2;5;2;5;4;4;3;1;1;15; ; ; ; ; ; ; ; ; ; ; ; ;,439604933986956
316;1;72;2;1;1;1; ;5;1;4;5;5;1;0;5;3;4;1;3;5;4;5;4;5;5;5;3;2;1;3;3;4;3;4;5;1; ; ;5;3;1;5;1;1;1;5;3;1;5;5;4;5; ; ;1;2;2;2;4;5;5;5;4;5;5;4;4;5;4;4;4;5;4;5;5; ; ;5;1;3;4;5;5;5;4;3;3;5;5;4;5;1;3;4;5;5;5;4;3;5;24; ; ; ;1;1; ; ; ; ; ; ; ; ;4;4;99; ; ;5;4;4;1; ; ; ; ;9;5;1;8; ; ;2;1; ; ;1;2;1995;1;12;2014; ; ; ; ; ; ;1;1;1;3; ; ;4;4;5;3;5;4;5;4;4;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;,72100993449308
317;1;66;2;1;1;5;2;5;1;5;5;5;5;0;5;2;5;0;5;5;5;5;5;1;5;0;5;5;1;5;5;1;1;3;5;5; ; ;5;5;1;5;1;1;5;5;5;3;5;5;1;5; ; ;1;2;2;2;5;2;2;1;2;1;1;1;1;1;2;4;1;1;2;2;1; ; ;5;1;5;0;5;5;5;5;5;5;5;5;5;5;1;3;5;5;5;5;5;4;5;18;24; ; ;1;1;24; ; ; ; ; ; ; ;5;4;3; ; ;5;5;5;1; ; ; ; ;8;5; ; ; ; ;1;1; ; ;1;2;2008;2; ;2012; ; ; ; ; ; ;1;1;5;39; ; ;5;1;5;1;5;3;5;5;5;2;1;2;7;5; ; ;5; ; ; ;142; ;4;4;6;,72100993449308
318;1;24;4;1;1;5;2;4;2;3;4;5;2;1;5;3;3;1;4;2;2;1;1;4;1;1;2;1;5;1;5;5;5;4;3;3;53;5;2;4;1;4;1;5;1;5;2;1;2;2;2;2; ; ;2;2;2;1; ;2;2;5;4;3;2;3;3;4;1;4;4;4;4;5;4; ; ;5;3;5;1;4;4;4;4;5;4;5;5;4;5;1;3;4;5;5;5;4;4;5;24; ; ; ;1;1;2; ; ; ; ; ; ; ;5;3;2; ; ;4;3;3;1; ; ; ; ;9;1;5;14; ; ;2;2;1; ;1;3;1987;2; ;2012; ; ; ; ; ; ;3;1;3;30; ; ;5;1;5;1;5;2;5;1;1;1;2; ; ;5; ; ;5; ; ; ;116; ;4;2;8;,888030888030888
319;1;12;1;43; ;5;1;5;1;4;3;2;3;4;0;5;3;1;3;4;3;1;3;4;1;2;1;5;4;3;3;1;2;4;1;3; ; ;3;4;1;5;1;3;5;5;3;2;3;3;3;2; ; ;1;2;2;2;4;3;4;3;3;2;3;3;3;4;4;1;4;4;3;3;3; ; ;5;1;4;1;5;5;5;1;5;5;5;5;5;5;3;1;3;5;4;5;5;4;5;7;13; ; ;1;8;6;2;7;11;4;19; ; ;5;3;2; ; ;3;2;1;2; ; ; ;2; ; ; ; ; ; ;1;1;6; ;1;5;2007;1;12;2014;5;6; ;4;15; ;3;3;36; ; ; ;3;1;5;1;4;3;4;1;1;2;1;5;7;5; ; ;5; ; ; ;25; ;4;4;3;1,2796986392492
320;1;17;2;1;1;5;2;4;5;5;5;5;5;1;5;5;5;5;5;4;5;5;4;4;5;4;4;5;5;4;5;3;5;5;5;4; ; ;5;4;1;5;1;5;1;3;4;4;4;5;5;5; ; ;1;2;1;2;5;5;5;5;5;5;4;5;5;4;5;5;5;4;4;5;5; ; ;5;1;5;5;5;5;5;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;3; ; ; ;1;1; ; ; ; ; ; ; ; ;4;4;5; ; ;5;4;4;2; ; ; ;1;8;1;5; ; ; ;3;5;2; ;2;2;1988;2; ;1995; ; ; ; ; ; ;1;1;3;30; ; ;5;3;5;5;5;5;4;5;5;3;1;5;25;5; ; ;5; ; ; ;62; ;4;1;6;,888030888030888
321;1;31;2;9;17;5;2;1;4;1;5;5;5;4;5;5;4;1;1;3;4;5;1;1;1;2;2;1;1;1;4;1;5;4;5;1; ; ;4;5;1;5;1;1;1;5;4;1;1;1;1;4; ; ;1;2;2;1;5;4;4;5;5;3;4;4;3;3;5;4;2;5;5;5;4; ; ;5;1;5;4;5;5;5;4;3;3;4;5;2;4;2;3;5;5;4;4;4;3;5;13;27; ; ;1;99; ; ; ; ; ; ; ; ;4;2;9; ; ;4;4;3;1; ; ; ; ;9;1;13; ; ; ;2;1;2; ;2;2;1995;1;17;2011; ; ; ; ; ; ;2;1;30; ; ; ;4;2;4;2;4;3;3;4;3;1;2; ; ;5; ; ;5; ; ; ;49; ;4;1;6;1,67165560423987
322;1;28;3;1;45;6;2;1;1;5;5;5;5;0;5;3;1;1;4;5;5;4;5;2;4;4;5;1;3;1;5;5;3;4;4;1; ; ;5;3;1;3;1;1;4;5;5;4;1;5;2;5; ; ;1;2;2;2;4;5;5;5;4;4;5;4;5;5;3;4;4;4;4;4;5; ; ;5;1;5;4;5;5;5;4;4;5;5;5;4;5;4;3;4;4;5;5;5;4;5;25;31; ; ;1;6;1;29; ; ; ; ; ; ;4;2;23; ; ;4;4;4;2; ; ; ;1;8;1;6;7; ; ;1;1; ; ;1;3;1998;2; ;2005; ; ; ; ; ; ;3;1;4; ; ; ;4;4;4;4;4;4;4;4;4;1;2; ; ;5; ; ;5; ; ; ;2; ;1;8;4;,888030888030888
323;1;29;1;9; ;6;2;1;1;2;1;4;4;0;5;1;4;1;3;1;5;5;3;5;1;1;2;2;3;1;1;1;1;2;3;1; ; ;1;3;1;5;1;1;3;5;1;1;1;1;1;1; ; ;1;2;99;2;2;4;2;3;3;1;5;4;2;5;1;1;5;5;4;4;5; ; ;4;3;5;5;5;3;4;2;5;3;5;5;4;5;1;1;4;5;5;5;5;2;4;35; ; ; ;1;0; ; ; ; ; ; ; ; ;5;3;11; ; ;3;1;2;99; ; ; ;2; ; ; ; ; ; ;1;1; ; ;2;2;2003;1;20;2011; ; ; ; ; ; ;3;1;2;29;30; ;5;1;5;1;3;1;5;5;1;1;1;1;7;5; ; ;4;22; ; ;57; ;2;4;3;,439604933986956
324;1;38;2;10;10;4;2;1;1;5;4;5;1;5;0;5;5;5;5;5;5;5;5;1;5;5;5;1;1;1;1;1;5;5;5;1; ; ;5;5;1;5;1;1;2;5;1;3;1;5;5;5; ; ;1;2;2;2;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5; ; ;5;1;5;5;5;5;5;2;5;5;5;5;5;5;1;3;4;5;5;5;5;5;5;3;24; ; ;1;0; ; ; ; ; ; ; ; ;3;5;3; ; ;5;5;4;22; ; ; ;1;5;5; ; ; ; ;1;1;3; ;2;9;2009;2; ;2015;5; ; ;8; ; ;1;3;36; ; ; ;4;1;5;3;1;3;4;5;5;2;1;6;1;3;1; ;4;1;17; ;27; ;1;4;3;,72100993449308
325;1;35;2;3;3;5;2;5;5;5;4;5;5;0;5;5;2;1;4;5;5;5;5;3;5;5;5;4;5;5;5;4;4;5;5;3; ; ;5;4;1;5;5;1;1;4;5;4;3;5;5;5; ; ;1;2;2;2;4;5;5;5;5;5;5;5;5;4;5;3;4;4;5;5;5; ; ;5;1;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;4;27; ; ; ;1;99; ; ; ; ; ; ; ; ;3;4;11; ; ;4;4;4;99; ; ; ;1;9;5; ; ; ; ;2;5;1; ;3;3;1986;1;5;1990; ; ; ; ; ; ;3;1;20; ; ; ;5;3;5;4;5;5;4;5;4;1;1;3;18;5; ; ;4;26; ; ;62; ;2;1;5;1,67165560423987
330;1;4;4;2;3;5;2;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ; ;1;2;2;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1; ; ;5;3;5;5;5;5;5;5;3;3;5;5;5;5;3;3;3;5;5;5;5;3;5;7;25; ; ;1;99; ; ; ; ; ; ; ; ;3;3;3; ; ;5;5;5;99; ; ; ;1;99;1;6; ; ; ;1;1; ; ;3;99;1987;2; ;1991;6; ; ;3; ; ;4;4;30; ; ; ;5;1;5;1;3;3;4;3;3;2;1;1;24;5; ; ;5; ; ; ;86; ;2;4;99;1,2796986392492
333;1;60;4;1;1;5;2;5;1;5;5;5;5;0;5;1;5;1;1;1;5;1;3;5;3;5;5;5;5;5;5;5;1;5;5;1; ; ;5;5;5;5;5;3;1;5;5;5;5;5;3;5; ; ;2;2;2;2; ;5;5;5;5;5;3;5;5;5;3;3;5;5;3;5;5; ; ;5;1;1;3;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;13; ; ; ;1;1; ; ; ; ; ; ; ; ;5;2;99; ; ;4;4;3;1;23; ; ; ;7;5; ; ; ; ;3;2; ; ;1;99;9999;2; ;9999; ; ; ; ; ; ;1;1;0; ; ; ;3;1;4;2;1;4;5;5;2;1;2; ; ;5; ; ;5; ; ; ;62; ;4;1;7;1,2796986392492
335;1;70;4;11;1;5;1;5;1;4;4;3;5;4;5;5;5;4;3;3;4;4;5;4;1;4;4;4;5;4;4;4;4;4;3;4; ; ;4;4;1;4;1;2;2;5;4;5;1;4;1;4; ; ;1;2;2;2;4;4;4;4;3;3;3;4;4;4;4;4;4;4;2;4;4; ; ;4;3;5;1;5;5;5;3;4;4;5;5;5;5;1;5;5;5;5;5;5;2;5;18; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;3;2; ; ;1;1;1996;2; ;2002;99; ; ;6; ; ;3;3;29; ; ; ;5;3;5;3;4;4;5;3;4;3;1;4;1;5; ; ;5; ; ; ;124; ;4;1;8;,72100993449308
336;1;77;4;1;1;6;1;1;1;4;4;5;1;0;4;1;2;1;3;1;3;4;5;2;1;2;4;5;3;3;4;4;1;2;4;1;33;4;5;2;1;5;2;2;3;5;3;2;2;4;3;4; ; ;1;2;2;2;5;4;3;4;5;4;4;4;3;4;1;2;4;4;2;4;5; ; ;5;1;4;4;4;3;5;3;3;3;4;4;3;5;1;3;4;4;5;3;5;3;4;6; ; ; ;1;1; ; ; ; ; ; ; ; ;1;4;6; ; ;4;3;3;3; ; ; ;1;99;7; ; ; ; ;2;2; ; ;1;1;1985;2; ;2014; ; ; ; ; ; ;3;1;4; ; ; ;3;1;4;2;4;3;4;4;4;1;2; ; ;5; ; ;5; ; ; ;141; ;1;8;4;,888030888030888
337;1;70;2;1;1;5;2;1;1;5;5;5;1;1;5;1;1;5;5;5;5;5;5;5;5;1;5;1;1;3;5;1;3;5;5;2; ; ;5;1;1;5;1;1;1;5;5;3;1;5;4;5; ; ;1;2;2;2;3;4;4;3;3;5;5;5;3;5;5;3;4;5;5;4;5; ; ;5;1;5;5;5;5;5;2;5;5;5;5;5;5;2;5;5;5;5;5;5;2;5;13;14; ; ;1;1;12;24; ; ; ; ; ; ;2;1;23; ; ;5;4;3;2; ; ; ;1;6;5; ; ; ; ;3;2;5; ;1;1;1994;2; ;2000; ; ; ; ; ; ;4;1;6; ; ; ;1;1;4;1;4;5;3;2;1;3;1;4;9;5; ; ;5; ; ; ;124; ;4;1;7;,72100993449308
338;1;40;2;1;3;5;1;4;1;4;4;5;1;1;5;3;5;1;5;5;5;5;5;4;5;3;5;1;1;5;4;5;4;5;5;4; ; ;5;5;1;4;1;1;1;4;4;3;5;4;5;5; ; ;1;2;2;2;5;4;4;4;4;5;5;5;5;5;3;4;3;5;3;3;5; ; ;5;1;5;5;4;4;4;4;5;5;5;5;4;5;3;4;5;5;5;5;5;5;5;13; ; ; ;1;1;3; ; ; ; ; ; ; ;3;3;17; ; ;4;4;3;1; ; ; ; ;8;5;8;19; ; ;2;5;1; ;4;2;1998;2; ;2011; ; ; ; ; ; ;4;1;20;36; ; ;4;4;3;4;4;3;4;4;4;1;2; ; ;5; ; ;4;29; ; ;62; ;2;1;6;1,67165560423987
341;1;55;2;1;1;5;2;5;1;5;5;5;3;0;5;4;4;1;5;5;5;5;2;5;5;5;5;5;4;5;4;5;5;5;5;2; ; ;5;5;1;4;1;2;1;5;5;5;3;5;5;5; ; ;1;2;2;2;5;5;5;5;4;5;5;5;5;3;4;5;3;3;5;4;5; ; ;5;1;5;4;5;5;5;4;5;5;5;5;5;5;4;4;5;5;5;5;5;4;5;13;18;19;24;1;1; ; ; ; ; ; ; ; ;4;5;8; ; ;2;2;3;2;3; ; ;2; ; ; ; ; ; ;3;2;5; ;1;3;1998;1;6;2005; ; ; ; ; ; ;3;1;5;3;6; ;4;4;3;3;4;5;5;3;5;3;1;3;7;5; ; ;4;11; ; ;95; ;4;2;6;,439604933986956
