REGISTRO;F_1;F_2_COD_1;F_3;F_4;F_5;F_6;F_7;P1_1;P1_2;P1_3;P1_4;P1_5;P1_6;P1_7;P1_8;P1_9;P1_10;P1_11;P1_12;P1_13;P1_14;P1_15;P1_16;P1_17;P1_18;P1_19;P1_20;P1_21;P1_22;P1_23;P1_24;P1_25;P1_26;P1_27;P1_28;P1_29;P1_98O;P1_98;P2_1;P2_02;P2_3;P2_4;P2_5;P2_6;P2_7;P2_8;P2_9;P2_10;P2_11;P2_12;P2_13;P2_14;P2_98O;P2_98;P3_1;P3_2;P3_3;P3_4;P4;P5_1;P5_2;P5_3;P5_4;P5_5;P5_6;P5_7;P5_8;P5_9;P5_10;P5_11;P5_12;P5_13;P5_14;P5_15;P5_16;P5_98O;P5_98;P6;P7;P8_1;P8_2;P8_3;P8_4;P8_5;P8_6;P8_7;P8_8;P8_9;P8_10;P8_11;P8_12;P8_13;P8_14;P8_15;P8_16;P8_17;P8_18;P8_19;P8_20;P8_21;P9_COD_1;P9_COD_2;P9_COD_3;P9_COD_4;P10;P11A;P11_1;P11_2;P11_3;P11_4;P11_5;P11_6;P11_7;P11_8;P12;P13;P14_COD_1;P14_COD_2;P14_COD_3;P15_1;P15_2;P15_3;P16_1;P16_2;P16_3;P16_4;P17;P18;P19_1;P19_2;P19_3;P19_4;P19_5;P20;P21_1;P21_2;P21_3;P22;P23_1;P23_2;P24;P25;P26;P27_1;P27_2;P27_3;P28_COD_1;P28_COD_2;P28_COD_3;P29;P30;P31_1;P31_2;P31_3;P31_4;P32_1;P32_2;P32_3;P32_4;P32_5;P32_6;P32_7;P32_8;P32_9;P33;P34;P35;P36;P37;P38_1;P38_2;P39;P40_1;P40_2;P40_3;P41_COD_1;P41_COD_2;P42;P43;P44;FACTOR
256;1;57;4;1;1;5;2;3;1;5;5;5;1;1;5;1;5;1;3;1;3;5;1;5;5;1;5;1;5;1;3;3;1;5;3;1; ; ;5;5;1;5;1;5;1;3;5;5;5;5;1;3; ; ;1;2;2;2;4;5;5;4;4;3;5;4;4;5;5;3;5;5;3;5;5; ; ;5;1;5;4;5;4;3;3;5;5;5;5;5;5;4;5;3;3;3;3;3;3;5;33; ; ; ;1;1; ; ; ; ; ; ; ; ;5;2;6; ; ;5;5;4;1; ; ; ; ;5;5; ; ; ; ;3;5;2; ;1;3;1995;2; ;2012; ; ; ; ; ; ;1;1;36; ; ; ;4;1;5;1;3;5;3;4;1;1;1;1;7;5; ; ;3;20; ; ;62; ;4;1;6;,439604933986956
257;1;4;4;9;39;6;2;5;1;5;1;5;1;1;5;5;5;5;1;1;5;1;1;5;5;5;1;1;1;1;5;5;5;1;1;1;42;5;5;1;5;1;1;5;0;5;5;5;5;5;1;1;22;5;1;2;2;2;5;5;5;5;3;5;3;5;3;5;5;5;3;5;5;1;5; ; ;5;3;5;5;5;4;3;3;5;5;5;5;5;5;3;1;3;5;4;5;3;3;5;1; ; ; ;1;9;6; ; ; ; ; ; ; ;2;2;18; ; ;3;2;2;1; ; ; ; ;5;1;5;12; ; ;1;1; ; ;1;3;1982;2; ;1992; ; ; ; ; ; ;3;1;3;5; ; ;5;3;3;1;3;5;3;3;3;1;1;5;7;5; ; ;5; ; ; ;87; ;2;6;10;1,2796986392492
258;1;24;2;1;1;5;2;1;1;5;5;5;3;1;5;4;1;1;5;4;5;4;5;5;3;4;3;5;2;4;5;5;1;3;5;1;35;5;5;1;1;5;1;1;3;5;5;5;1;5;1;3; ; ;2;2;2;2; ;5;5;5;5;4;5;4;5;5;3;3;5;5;2;3;5; ; ;4;1;5;5;5;5;5;4;5;5;5;5;5;5;3;3;5;5;5;5;5;3;5;24; ; ; ;1;99; ; ; ; ; ; ; ; ;3;5;8; ; ;4;4;1;99; ; ; ;1;6;6; ; ; ; ;3;2;1; ;1;1;1991;2; ;2011; ; ; ; ; ; ;1;1;4; ; ; ;3;1;5;3;5;5;5;4;4;1;2; ; ;4;99; ;5; ; ; ;85; ;4;4;7;,888030888030888
260;1;28;4;1;1;6;2;3;0;5;5;5;2;0;5;4;3;5;4;3;4;3;5;4;5;4;5;4;0;2;5;5;2;1;4;0; ; ;5;1;1;5;1;3;2;5;4;3;5;5;2;3; ; ;1;2;2;2;1;5;4;5;5;4;3;5;3;3;5;3;5;5;4;5;5; ; ;5;1;5;5;5;5;5;2;5;3;5;5;5;5;2;3;4;5;5;5;5;3;5;24; ; ; ;1;2; ; ; ; ; ; ; ; ;3;3;6; ; ;4;4;2;1; ; ; ; ;99;1;5; ; ; ;2;5; ; ;2;3;1980;1;16;1993; ; ; ; ; ; ;1;1;0; ; ; ;4;4;4;5;5;5;4;4;4;1;2; ; ;5; ; ;5; ; ; ;119; ;2;2;9;,888030888030888
261;1;74;2;1;1;4;1;5;1;4;1;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;31;5;1;3;1;3;1;1;4;5;1;2;1;3;1;1; ; ;1;2;2;2;3;4;3;5;4;2;1;1;1;1;1;4;1;5;1;3;3; ; ;5;1;5;1;5;5;5;4;5;1;5;5;5;5;5;4;1;5;5;5;5;5;5;25;30; ; ;1;1;3; ; ; ; ; ; ; ;5;5;6;18; ;3;4;5;1; ; ; ; ;7;5; ; ; ; ;1;1;2; ;2;3;2002;2; ;2012; ; ; ; ; ; ;1;1;0; ; ; ;5;3;5;2;5;5;5;5;5;2;1;1;7;5; ; ;5; ; ; ;62; ;99;2;3;1,67165560423987
266;1;28;4;10;3;5;2;5;3;5;4;4;1;1;0;5;5;1;4;3;3;5;5;4;1;5;2;1;1;0;4;4;5;4;5;1; ; ;5;5;5;5;3;1;1;5;1;5;1;5;4;4; ; ;1;2;2;2;5;4;3;5;4;3;3;3;3;5;5;5;5;5;4;4;5; ; ;5;3;5;5;1;2;5;1;5;5;5;5;5;5;1;3;5;5;5;5;5;5;5;28; ; ; ;1;1; ; ; ; ; ; ; ; ;1;1;7; ; ;3;3;4;99; ; ; ;2; ; ; ; ; ; ;1;1; ; ;1;1;1997;1;12;2013;6; ; ;13; ; ;3;3;31; ; ; ;1;1;3;1;1;1;5;1;1;1;1;5;5;5; ; ;5; ; ; ;121; ;4;1;9;,888030888030888
269;1;86;2;19;19;5;2;3;5;5;4;4;5;5;4;5;5;5;3;2;3;3;5;1;1;5;5;1;1;2;5;4;5;5;3;4;50;4;4;5;5;5;5;1;5;5;5;5;5;5;4;3; ; ;2;2;2;2; ;3;3;4;4;3;3;3;3;5;5;5;5;5;4;5;4;20;1;5;1;4;1;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;5;5;5;34; ; ; ;1;10;1;3; ; ; ; ; ; ;3;2;6;19; ;5;4;4;1; ; ; ; ;7;5;4; ; ; ;1;1; ; ;1;1;2000;2; ;2005;5; ; ;4; ; ;3;3;30; ; ; ;5;3;4;3;5;5;5;4;3;1;2; ; ;5; ; ;5; ; ; ;62; ;4;1;6;,888030888030888
270;1;70;3;12;1;5;2;4;1;1;1;1;1;3;0;5;1;3;1;1;1;1;1;1;1;1;1;1;3;1;1;1;3;1;1;1; ; ;5;1;1;5;1;4;1;5;1;1;1;3;1;1; ; ;1;2;2;2;3;4;4;3;2;1;1;3;1;1;4;4;1;1;4;5;3; ; ;5;1;5;5;5;2;2;4;4;3;5;5;5;5;1;2;5;5;5;1;3;2;5;13;25; ; ;1;1;12;24; ; ; ; ; ; ;5;1;18; ; ;2;2;2;1; ; ; ; ;6;5;1;7; ; ;1;1; ; ;2;9;1996;1;8;2011;4; ; ;99; ; ;1;3;16; ; ; ;4;1;4;1;5;5;5;5;1;2;2; ; ;5; ; ;5; ; ; ;124; ;4;1;9;,72100993449308
272;1;38;4;1;1;5;2;5;1;5;5;5;1;0;5;1;5;1;5;5;5;5;1;4;4;2;5;1;5;5;5;5;3;5;5;2; ; ;5;2;1;5;1;4;1;5;5;3;5;5;5;5; ; ;1;2;2;1;5;5;5;5;5;5;5;5;5;2;5;2;5;5;5;5;5; ; ;5;1;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;2;5;18; ; ; ;1;2;1; ; ; ; ; ; ; ;5;5;1;12; ;3;3;3;1; ; ; ; ;5;5;11; ; ; ;2;5;4;2;3;3;1990;2; ;2012; ; ; ; ; ; ;1;1;29; ; ; ;4;2;3;2;4;2;4;5;4;3;1;1;7;5; ; ;5; ; ; ;75; ;4;2;6;,72100993449308
273;1;48;4;1;1;5;2;5;1;4;5;5;1;0;5;3;4;1;5;5;5;5;3;5;1;3;4;5;5;1;4;1;3;4;4;1; ; ;5;3;1;5;1;4;4;5;4;3;4;3;3;3; ; ;1;2;2;2;5;4;5;5;4;3;5;5;5;5;3;3;5;5;2;3;5; ; ;5;1;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;24; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ;2;3; ; ;2;3;1981;2; ;2012; ; ; ; ; ; ;1;1;30; ; ; ;5;3;4;3;4;3;4;4;5;2;1;3;13;2;1; ;4;99; ; ;91; ;4;2;99;1,67165560423987
